CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
876525802,04/10/2008,19:10:00,,,73,04/10/2008,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,NA,,NA,1008495,183171,,,,,40.669413836,-73.91260308,"(40.669413836, -73.91260308)",PATROL BORO BKLYN NORTH,,18-24,BLACK,M
402693528,06/03/2007,15:23:00,,,28,06/03/2007,236,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,N.Y. POLICE DEPT,0,NA,,NA,999336,231461,,,,,40.801978284,-73.945511151,"(40.801978284, -73.945511151)",PATROL BORO MAN NORTH,,,UNKNOWN,E
832030069,02/16/2010,20:50:00,02/16/2010,20:50:00,102,02/16/2010,105,ROBBERY,375,"ROBBERY,PHARMACY",COMPLETED,FELONY,QUEENS,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,0,NA,,NA,1031117,194344,,,,,40.699990268,-73.830977746,"(40.699990268, -73.830977746)",PATROL BORO QUEENS SOUTH,,,UNKNOWN,D
